Tue Sep  7 16:15:46 EDT 1999
Astronomical silicate, smoothed UV      
Computed by B.T.Draine (see Laor, A, & Draine, B.T. 1993 ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate, smoothed UV      
w(micron)  Q_abs     Q_sca     g=<cos>
5.012E+02 8.719E-07 2.526E-19 0.00E+00
4.732E+02 9.785E-07 3.180E-19 0.00E+00
4.467E+02 1.098E-06 4.004E-19 0.00E+00
4.217E+02 1.233E-06 5.041E-19 0.00E+00
3.981E+02 1.384E-06 6.346E-19 0.00E+00
3.758E+02 1.553E-06 7.989E-19 0.00E+00
3.548E+02 1.744E-06 1.006E-18 0.00E+00
3.350E+02 1.957E-06 1.266E-18 0.00E+00
3.162E+02 2.196E-06 1.595E-18 0.00E+00
2.985E+02 2.466E-06 2.008E-18 0.00E+00
2.818E+02 2.769E-06 2.528E-18 0.00E+00
2.661E+02 3.110E-06 3.183E-18 0.00E+00
2.512E+02 3.494E-06 4.007E-18 0.00E+00
2.371E+02 3.924E-06 5.046E-18 0.00E+00
2.239E+02 4.407E-06 6.353E-18 0.00E+00
2.113E+02 4.950E-06 8.000E-18 0.00E+00
1.995E+02 5.561E-06 1.007E-17 0.00E+00
1.884E+02 6.250E-06 1.269E-17 0.00E+00
1.778E+02 7.025E-06 1.598E-17 0.00E+00
1.679E+02 7.898E-06 2.012E-17 0.00E+00
1.585E+02 8.882E-06 2.533E-17 0.00E+00
1.496E+02 9.991E-06 3.191E-17 0.00E+00
1.413E+02 1.124E-05 4.018E-17 0.00E+00
1.334E+02 1.265E-05 5.061E-17 0.00E+00
1.259E+02 1.424E-05 6.375E-17 0.00E+00
1.189E+02 1.604E-05 8.027E-17 0.00E+00
1.122E+02 1.807E-05 1.011E-16 0.00E+00
1.059E+02 2.036E-05 1.274E-16 0.00E+00
1.000E+02 2.297E-05 1.604E-16 0.00E+00
9.441E+01 2.591E-05 2.021E-16 0.00E+00
8.913E+01 2.925E-05 2.546E-16 0.00E+00
8.414E+01 3.301E-05 3.207E-16 0.00E+00
7.943E+01 3.730E-05 4.040E-16 0.00E+00
7.499E+01 4.216E-05 5.087E-16 0.00E+00
7.079E+01 4.768E-05 6.406E-16 0.00E+00
6.683E+01 5.391E-05 8.067E-16 0.00E+00
6.310E+01 6.101E-05 1.015E-15 0.00E+00
5.957E+01 6.902E-05 1.278E-15 0.00E+00
5.623E+01 7.810E-05 1.607E-15 0.00E+00
5.309E+01 8.826E-05 2.020E-15 0.00E+00
5.012E+01 9.975E-05 2.539E-15 0.00E+00
4.732E+01 1.127E-04 3.188E-15 0.00E+00
4.467E+01 1.271E-04 4.001E-15 0.00E+00
4.217E+01 1.434E-04 5.018E-15 0.00E+00
3.981E+01 1.614E-04 6.279E-15 0.00E+00
3.758E+01 1.813E-04 7.854E-15 0.00E+00
3.548E+01 2.027E-04 9.845E-15 0.00E+00
3.350E+01 2.270E-04 1.234E-14 0.00E+00
3.162E+01 2.556E-04 1.546E-14 0.00E+00
2.985E+01 2.885E-04 1.935E-14 0.00E+00
2.818E+01 3.256E-04 2.412E-14 0.00E+00
2.661E+01 3.682E-04 3.008E-14 0.00E+00
2.512E+01 4.173E-04 3.754E-14 0.00E+00
2.371E+01 4.722E-04 4.641E-14 0.00E+00
2.239E+01 5.363E-04 5.741E-14 0.00E+00
2.113E+01 6.104E-04 7.003E-14 0.00E+00
1.995E+01 6.992E-04 8.450E-14 0.00E+00
1.884E+01 7.789E-04 9.457E-14 0.00E+00
1.778E+01 7.837E-04 9.704E-14 0.00E+00
1.679E+01 7.141E-04 9.773E-14 0.00E+00
1.585E+01 6.108E-04 1.058E-13 0.00E+00
1.496E+01 5.178E-04 1.309E-13 0.00E+00
1.413E+01 4.656E-04 1.879E-13 0.00E+00
1.334E+01 5.554E-04 2.907E-13 0.00E+00
1.259E+01 7.324E-04 4.203E-13 0.00E+00
1.189E+01 9.735E-04 5.815E-13 0.00E+00
1.122E+01 1.266E-03 7.732E-13 0.00E+00
1.059E+01 1.674E-03 1.026E-12 0.00E+00
1.000E+01 2.040E-03 1.154E-12 0.00E+00
9.441E+00 1.749E-03 1.037E-12 3.34E-07
8.913E+00 1.461E-03 5.688E-13 3.75E-07
8.414E+00 1.020E-03 3.044E-13 4.20E-07
7.943E+00 4.884E-04 1.450E-13 4.71E-07
7.499E+00 2.147E-04 3.327E-13 5.29E-07
7.079E+00 1.681E-04 7.231E-13 5.94E-07
6.683E+00 1.663E-04 1.196E-12 6.66E-07
6.310E+00 1.652E-04 1.777E-12 7.47E-07
5.957E+00 1.616E-04 2.512E-12 8.38E-07
5.623E+00 1.591E-04 3.459E-12 9.41E-07
5.309E+00 1.679E-04 3.502E-12 7.19E-07
5.012E+00 1.700E-04 4.623E-12 8.13E-07
4.732E+00 1.742E-04 6.038E-12 9.18E-07
4.467E+00 1.797E-04 7.836E-12 1.04E-06
4.217E+00 1.864E-04 1.010E-11 1.17E-06
3.981E+00 1.931E-04 1.297E-11 1.32E-06
3.758E+00 1.999E-04 1.659E-11 1.48E-06
3.548E+00 2.071E-04 2.117E-11 1.67E-06
3.350E+00 2.144E-04 2.693E-11 1.87E-06
3.162E+00 2.211E-04 3.420E-11 2.10E-06
2.985E+00 2.285E-04 4.339E-11 2.37E-06
2.818E+00 2.368E-04 5.502E-11 2.66E-06
2.661E+00 2.457E-04 6.969E-11 2.99E-06
2.512E+00 2.553E-04 8.817E-11 3.35E-06
2.371E+00 2.659E-04 1.114E-10 3.77E-06
2.239E+00 2.770E-04 1.408E-10 4.23E-06
2.113E+00 2.888E-04 1.777E-10 4.75E-06
1.995E+00 3.016E-04 2.242E-10 5.33E-06
1.884E+00 3.151E-04 2.828E-10 5.98E-06
1.778E+00 3.297E-04 3.565E-10 6.71E-06
1.679E+00 3.459E-04 4.493E-10 7.54E-06
1.585E+00 3.633E-04 5.663E-10 8.46E-06
1.496E+00 3.815E-04 7.135E-10 9.49E-06
1.413E+00 4.008E-04 8.986E-10 1.07E-05
1.334E+00 4.211E-04 1.132E-09 1.20E-05
1.259E+00 4.426E-04 1.425E-09 1.34E-05
1.189E+00 4.668E-04 1.794E-09 1.50E-05
1.122E+00 4.925E-04 2.259E-09 1.69E-05
1.059E+00 5.197E-04 2.843E-09 1.89E-05
1.000E+00 5.485E-04 3.580E-09 2.13E-05
9.441E-01 5.793E-04 4.506E-09 2.38E-05
8.913E-01 6.118E-04 5.672E-09 2.68E-05
8.414E-01 6.458E-04 7.144E-09 3.00E-05
